niveau,continent,norme_iso_3166,nationalite,premiere_demande,reexamen,reouverture,maj_premiere_demande,maj_reexamen,maj_reouverture,f_premiere_demande,f_reexamen,f_reouverture,maj_f_premiere_demande,maj_f_reexamen,maj_f_reouverture
Nationalité,AMÉRIQUES,PRY,Paraguay,10,0,0,9,0,0,9,0,0,8,0,0
Nationalité,AMÉRIQUES,SLV,Salvador,28,5,0,19,5,0,15,3,0,10,3,0
Nationalité,AMÉRIQUES,SUR,Suriname,22,8,0,17,2,0,11,2,0,9,1,0
Nationalité,AMÉRIQUES,USA,États-Unis,14,2,0,12,2,0,8,1,0,7,1,0
Nationalité,AMÉRIQUES,VEN,Vénézuela,773,87,0,590,64,0,421,38,0,326,25,0
Continent,ASIE,,,30582,4840,24,23919,4205,15,9307,616,8,6277,317,5
Nationalité,ASIE,,Autres nationalités,48,5,0,36,4,0,21,0,0,17,0,0
Nationalité,ASIE,AFG,Afghanistan,12378,2063,20,8841,1887,11,3964,103,6,2410,17,3
Nationalité,ASIE,BGD,Bangladesh,6031,920,0,5723,821,0,788,114,0,635,65,0
Nationalité,ASIE,CHN,Chine,2101,71,0,1736,28,0,999,32,0,831,14,0
Nationalité,ASIE,IND,Inde,353,70,0,292,55,0,96,13,0,68,11,0
Nationalité,ASIE,IRN,Iran,500,50,0,418,39,0,241,15,0,196,9,0
Nationalité,ASIE,IRQ,Irak,434,65,0,277,42,0,167,14,0,93,7,0
Nationalité,ASIE,ISR,Israël,26,0,0,15,0,0,14,0,0,6,0,0
Nationalité,ASIE,JOR,Jordanie,30,4,0,21,2,0,11,2,0,7,0,0
Nationalité,ASIE,KAZ,Kazakhstan,97,29,0,63,23,0,49,10,0,32,6,0
Nationalité,ASIE,KGZ,Kirghizstan,17,4,0,10,2,0,10,3,0,6,1,0
Nationalité,ASIE,KHM,Cambodge,112,18,0,98,16,0,55,2,0,50,2,0
Nationalité,ASIE,KWT,Koweït,71,5,0,40,3,0,35,2,0,17,0,0
Nationalité,ASIE,LBN,Liban,281,58,0,212,37,0,150,29,0,115,18,0
Nationalité,ASIE,LKA,Sri Lanka,2828,642,4,2505,577,4,782,121,2,624,86,2
Nationalité,ASIE,MMR,Birmanie,89,7,0,58,6,0,39,3,0,24,3,0
Nationalité,ASIE,MNG,Mongolie,332,43,0,215,26,0,165,19,0,111,10,0
Nationalité,ASIE,MYS,Malaisie,8,3,0,8,2,0,5,2,0,5,1,0
Nationalité,ASIE,NPL,Népal,181,21,0,180,20,0,77,6,0,76,5,0
Nationalité,ASIE,PAK,Pakistan,1459,527,0,1249,494,0,227,30,0,146,18,0
Nationalité,ASIE,PSE,Palestine (PAL2),168,18,0,97,14,0,83,4,0,49,2,0
Nationalité,ASIE,PSE,Palestine (autorité),230,17,0,165,14,0,90,5,0,63,4,0
Nationalité,ASIE,SAU,Arabie saoudite,6,1,0,5,0,0,5,0,0,5,0,0
Nationalité,ASIE,SYR,Syrie,2576,159,0,1486,68,0,1153,73,0,639,31,0
Nationalité,ASIE,TJK,Tadjikistan,18,24,0,11,11,0,8,10,0,5,4,0
Nationalité,ASIE,UZB,Ouzbékistan,19,3,0,16,3,0,9,1,0,6,1,0
Nationalité,ASIE,VNM,Vietnam,31,8,0,31,8,0,5,2,0,5,2,0
Nationalité,ASIE,YEM,Yémen,158,5,0,111,3,0,59,1,0,36,0,0
Continent,EUROPE,,,30575,5967,30,21460,4474,25,14811,1692,16,10507,1030,12
Nationalité,EUROPE,,Autres nationalités,40,3,0,28,3,0,16,0,0,10,0,0
Nationalité,EUROPE,ALB,Albanie,1391,619,2,879,362,1,705,284,2,455,167,1
Nationalité,EUROPE,ARM,Arménie,1876,367,0,1357,230,0,914,158,0,688,110,0
Nationalité,EUROPE,AZE,Azerbaïdjan,397,127,0,271,85,0,183,55,0,115,35,0
Nationalité,EUROPE,BIH,Bosnie-Herzégovine,91,71,1,54,30,1,39,35,1,22,14,1
Nationalité,EUROPE,BLR,Biélorussie,140,41,1,107,29,1,58,18,0,39,14,0
Nationalité,EUROPE,GEO,Géorgie,3152,792,5,2475,598,5,1346,286,1,1026,195,1
Nationalité,EUROPE,MDA,Moldavie,174,47,0,114,33,0,77,19,0,48,14,0
Nationalité,EUROPE,MKD,Macédoine du Nord (Rép.),171,59,1,94,28,1,87,21,0,50,10,0
Nationalité,EUROPE,MNE,Monténégro,32,8,0,16,2,0,15,3,0,6,1,0
Nationalité,EUROPE,RUS,Russie,2513,609,3,1765,369,2,1111,239,2,758,131,1
Nationalité,EUROPE,SRB,Serbie,312,125,0,164,63,0,144,51,0,82,26,0
Nationalité,EUROPE,TUR,Turquie,5746,2672,5,4391,2391,5,1961,324,2,1331,200,2
Nationalité,EUROPE,UKR,Ukraine,11814,205,12,8180,142,9,6767,94,8,5040,61,6
Nationalité,EUROPE,XXK,Kosovo,2726,222,0,1565,109,0,1388,105,0,837,52,0
Continent,INDETERMINE,,,440,0,0,404,0,0,112,0,0,94,0,0
Nationalité,INDETERMINE,XXX,Nationalité indéterminée - apatride,440,0,0,404,0,0,112,0,0,94,0,0
